Week,Agent_ID,Strategy,Risk_Tolerance,Memory_Length,Decision,Actual_Attendance
2,54,Pessimist,63,3,Go,72
2,55,Optimist,70,3,Go,72
2,56,Optimist,60,3,Stay,72
2,57,Optimist,66,3,Go,72
2,58,Average,61,2,Go,72
2,59,Average,60,2,Go,72
2,60,Average,70,2,Go,72
2,61,Average,72,2,Go,72
2,62,Pessimist,68,3,Stay,72
2,63,Optimist,61,3,Stay,72
2,64,Average,66,2,Go,72
2,65,Pessimist,71,3,Stay,72
2,66,Pessimist,62,3,Go,72
2,67,Optimist,60,3,Stay,72
2,68,Optimist,61,3,Stay,72
2,69,Average,66,2,Go,72
2,70,Optimist,71,3,Go,72
2,71,Average,72,2,Go,72
2,72,Optimist,69,3,Go,72
2,73,Optimist,74,3,Go,72
2,74,Average,72,2,Go,72
2,75,Average,70,2,Go,72
2,76,Optimist,62,3,Stay,72
2,77,Optimist,63,3,Stay,72
2,78,Pessimist,74,3,Stay,72
2,79,Average,73,2,Go,72
2,80,Pessimist,60,3,Go,72
2,81,Average,62,2,Go,72
2,82,Optimist,68,3,Go,72
2,83,Optimist,60,3,Stay,72
2,84,Average,60,2,Go,72
2,85,Average,66,2,Go,72
2,86,Average,71,2,Go,72
2,87,Optimist,75,3,Go,72
2,88,Optimist,68,3,Go,72
2,89,Optimist,68,3,Go,72
2,90,Pessimist,67,3,Stay,72
2,91,Pessimist,72,3,Stay,72
2,92,Average,72,2,Go,72
2,93,Pessimist,63,3,Go,72
2,94,Pessimist,63,3,Go,72
2,95,Average,69,2,Go,72
2,96,Pessimist,71,3,Stay,72
2,97,Average,65,2,Go,72
2,98,Average,64,2,Go,72
2,99,Pessimist,62,3,Go,72
3,0,Average,61,2,Stay,31
3,1,Average,66,2,Stay,31
3,2,Optimist,71,3,Go,31
3,3,Pessimist,72,3,Stay,31
3,4,Pessimist,63,3,Go,31
3,5,Average,62,2,Stay,31
3,6,Average,61,2,Stay,31
3,7,Optimist,66,3,Go,31
3,8,Average,60,2,Stay,31
3,9,Pessimist,66,3,Stay,31
3,10,Optimist,68,3,Go,31
3,11,Pessimist,73,3,Stay,31
3,12,Pessimist,65,3,Stay,31
3,13,Pessimist,64,3,Go,31
3,14,Average,74,2,Stay,31
3,15,Pessimist,69,3,Stay,31
3,16,Optimist,67,3,Go,31
3,17,Average,63,2,Stay,31
3,18,Optimist,63,3,Stay,31
3,19,Average,68,2,Stay,31
3,20,Pessimist,63,3,Go,31
3,21,Pessimist,68,3,Stay,31
3,22,Average,64,2,Stay,31
3,23,Average,73,2,Stay,31
3,24,Pessimist,75,3,Stay,31
3,25,Pessimist,67,3,Stay,31
3,26,Optimist,75,3,Go,31
3,27,Optimist,67,3,Go,31
3,28,Pessimist,61,3,Go,31
3,29,Average,74,2,Stay,31
3,30,Pessimist,63,3,Go,31
3,31,Pessimist,66,3,Stay,31
3,32,Average,64,2,Stay,31
3,33,Average,73,2,Stay,31
3,34,Average,69,2,Stay,31
3,35,Average,61,2,Stay,31
3,36,Average,71,2,Stay,31
3,37,Optimist,70,3,Go,31
3,38,Optimist,65,3,Go,31
3,39,Optimist,72,3,Go,31
3,40,Average,60,2,Stay,31
3,41,Pessimist,67,3,Stay,31
3,42,Optimist,67,3,Go,31
3,43,Average,62,2,Stay,31
3,44,Pessimist,74,3,Stay,31
3,45,Pessimist,72,3,Stay,31
3,46,Optimist,68,3,Go,31
3,47,Pessimist,66,3,Stay,31
3,48,Average,75,2,Stay,31
3,49,Average,73,2,Stay,31
3,50,Average,73,2,Stay,31
3,51,Pessimist,73,3,Stay,31
3,52,Average,72,2,Stay,31
3,53,Average,61,2,Stay,31
3,54,Pessimist,63,3,Go,31
3,55,Optimist,70,3,Go,31
3,56,Optimist,60,3,Stay,31
3,57,Optimist,66,3,Go,31
3,58,Average,61,2,Stay,31
3,59,Average,60,2,Stay,31
3,60,Average,70,2,Stay,31
3,61,Average,72,2,Stay,31
3,62,Pessimist,68,3,Stay,31
3,63,Optimist,61,3,Stay,31
3,64,Average,66,2,Stay,31
3,65,Pessimist,71,3,Stay,31
3,66,Pessimist,62,3,Go,31
3,67,Optimist,60,3,Stay,31
3,68,Optimist,61,3,Stay,31
3,69,Average,66,2,Stay,31
3,70,Optimist,71,3,Go,31
3,71,Average,72,2,Stay,31
3,72,Optimist,69,3,Go,31
3,73,Optimist,74,3,Go,31
3,74,Average,72,2,Stay,31
3,75,Average,70,2,Stay,31
3,76,Optimist,62,3,Stay,31
3,77,Optimist,63,3,Stay,31
3,78,Pessimist,74,3,Stay,31
3,79,Average,73,2,Stay,31
3,80,Pessimist,60,3,Go,31
3,81,Average,62,2,Stay,31
3,82,Optimist,68,3,Go,31
3,83,Optimist,60,3,Stay,31
3,84,Average,60,2,Stay,31
3,85,Average,66,2,Stay,31
3,86,Average,71,2,Stay,31
3,87,Optimist,75,3,Go,31
3,88,Optimist,68,3,Go,31
3,89,Optimist,68,3,Go,31
3,90,Pessimist,67,3,Stay,31
3,91,Pessimist,72,3,Stay,31
3,92,Average,72,2,Stay,31
3,93,Pessimist,63,3,Go,31
3,94,Pessimist,63,3,Go,31
3,95,Average,69,2,Stay,31
3,96,Pessimist,71,3,Stay,31
3,97,Average,65,2,Stay,31
3,98,Average,64,2,Stay,31
3,99,Pessimist,62,3,Go,31
4,0,Average,61,2,Go,68
4,1,Average,66,2,Go,68
